benchmark_id,source_id,adapter,accession,execution_mode,metadata_only,requires_user_authorization,redistributable_by_causaflux,command_or_action
htan_spatial_cancer,htan_oms_breast,htan_synapse,HTAN center hta9; file Synapse IDs resolved from portal query,portal-query-account,True,True,False,"Query the HTAN portal using {""atlas_name"": ""HTAN OMS Atlas"", ""data_types"": [""Imaging"", ""scRNA-seq"", ""Bulk RNA-seq"", ""DNA-seq""], ""organ"": ""Breast""}; export the result; resolve every entity to a Synapse ID and immutable version; place approved files under /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/htan_spatial_cancer/htan_oms_breast"
htan_spatial_cancer,htan_breast_precancer,htan_synapse,HTAN center hta6; file Synapse IDs resolved from portal query,portal-query-account,True,True,False,"Query the HTAN portal using {""atlas_name"": ""HTAN Breast PreCancer Atlas"", ""organ"": ""Breast""}; export the result; resolve every entity to a Synapse ID and immutable version; place approved files under /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/htan_spatial_cancer/htan_breast_precancer"
htan_spatial_cancer,htan_cellular_geography_resistance,htan_synapse,HTAN center hta5; file Synapse IDs resolved from portal query,portal-query-account,True,True,False,"Query the HTAN portal using {""atlas_name"": ""HTAN Cellular Geography""}; export the result; resolve every entity to a Synapse ID and immutable version; place approved files under /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/htan_spatial_cancer/htan_cellular_geography_resistance"
gdc_tcga_cptac_brca,tcga_brca,gdc,TCGA-BRCA,public-and-controlled,True,True,False,"POST the recorded filters to the GDC files/cases API; write response JSON, GDC release, file manifest, MD5 values and case joins under /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/gdc_tcga_cptac_brca/tcga_brca"
gdc_tcga_cptac_brca,cptac2_breast_genomics,gdc,CPTAC-2,public-and-controlled,True,True,False,"POST the recorded filters to the GDC files/cases API; write response JSON, GDC release, file manifest, MD5 values and case joins under /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/gdc_tcga_cptac_brca/cptac2_breast_genomics"
gdc_tcga_cptac_brca,cptac_brca_proteome,pdc,PDC000120,public-and-controlled,True,False,False,Query the PDC GraphQL API for study PDC000120; lock study metadata and file checksums under /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/gdc_tcga_cptac_brca/cptac_brca_proteome
gdc_tcga_cptac_brca,calgb40601_proteogenomics,pdc,PDC000582,public-and-controlled,True,True,False,Query the PDC GraphQL API for study PDC000582; lock study metadata and file checksums under /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/gdc_tcga_cptac_brca/calgb40601_proteogenomics
depmap_prism_lincs,depmap_26q1,depmap_manual,DepMap Public 26Q1,manual-terms-no-scraping,True,True,False,"Open the official DepMap Downloads page, accept the file-specific terms, download DepMap Public 26Q1, and place it under /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/depmap_prism_lincs/depmap_26q1. Automated portal scraping is intentionally disabled."
depmap_prism_lincs,prism_repurposing,depmap_manual,PRISM Repurposing Secondary Screen,manual-terms-no-scraping,True,True,False,"Open the official DepMap Downloads page, accept the file-specific terms, download PRISM Repurposing Secondary Screen, and place it under /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/depmap_prism_lincs/prism_repurposing. Automated portal scraping is intentionally disabled."
depmap_prism_lincs,lincs_phase1,geo,GSE92742,public-command,True,False,False,Fetch GEO series metadata for GSE92742 via NCBI HTTPS; list supplementary files
depmap_prism_lincs,lincs_phase2,geo,GSE70138,public-command,True,False,False,Fetch GEO series metadata for GSE70138 via NCBI HTTPS; list supplementary files
depmap_prism_lincs,lincs_genetic_perturbations,geo,GSE106127,public-command,True,False,False,Fetch GEO series metadata for GSE106127 via NCBI HTTPS; list supplementary files
sea_ad_neural_glial,sea_ad_processed_single_cell,aws_s3,AWS s3://sea-ad-single-cell-profiling/; Brain Knowledge project UMSVXTDIAZTAFKGE43T,public-command,True,False,False,aws s3 ls --no-sign-request s3://sea-ad-single-cell-profiling/ /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/sea_ad_neural_glial/sea_ad_processed_single_cell/
sea_ad_neural_glial,sea_ad_spatial,aws_s3,AWS s3://sea-ad-spatial-transcriptomics/,public-command,True,False,False,aws s3 ls --no-sign-request s3://sea-ad-spatial-transcriptomics/ /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/sea_ad_neural_glial/sea_ad_spatial/
sea_ad_neural_glial,sea_ad_neuropathology,aws_s3,AWS s3://sea-ad-quantitative-neuropathology/,public-command,True,False,False,aws s3 ls --no-sign-request s3://sea-ad-quantitative-neuropathology/ /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/sea_ad_neural_glial/sea_ad_neuropathology/
sea_ad_neural_glial,sea_ad_multiregion,aws_s3,SEA-AD processed 11-region release (June 2026),public-command,True,False,False,aws s3 ls --no-sign-request s3://sea-ad-single-cell-profiling/ /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/sea_ad_neural_glial/sea_ad_multiregion/
amp_ad_molecular,ampad_rnaseq_harmonization,synapse,syn21241740,account-or-controlled,True,True,False,synapse get --downloadFile false syn21241740 --downloadLocation /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/amp_ad_molecular/ampad_rnaseq_harmonization
amp_ad_molecular,rosmap,synapse,syn3219045,account-or-controlled,True,True,False,synapse get --downloadFile false syn3219045 --downloadLocation /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/amp_ad_molecular/rosmap
amp_ad_molecular,msbb,synapse,syn3159438,account-or-controlled,True,True,False,synapse get --downloadFile false syn3159438 --downloadLocation /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/amp_ad_molecular/msbb
amp_ad_molecular,mayo_rnaseq,synapse,syn5550404,account-or-controlled,True,True,False,synapse get --downloadFile false syn5550404 --downloadLocation /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/amp_ad_molecular/mayo_rnaseq
amp_ad_molecular,ampad_diverse_cohorts,synapse,syn51732482,account-or-controlled,True,True,False,synapse get --downloadFile false syn51732482 --downloadLocation /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/amp_ad_molecular/ampad_diverse_cohorts
dandi_neurophysiology,dandi_000048,dandi,DANDI:000048,public-command,True,False,False,dandi ls DANDI:000048@latest
dandi_neurophysiology,dandi_000039,dandi,DANDI:000039,public-command,True,False,False,dandi ls DANDI:000039@latest
dandi_neurophysiology,dandi_000568,dandi,DANDI:000568,public-command,True,False,False,dandi ls DANDI:000568@latest
