evidence_id,claim_id,status,evidence_kind,source,independent,prospective,synthetic,negative_or_failure,cycle,metric,value,threshold,notes,sha256,recorded_at_utc
SW_DYNAMIC,CF2_PHASE1_DYNAMIC_SUPERIORITY,SOFTWARE_PASS,software_fixture,/mnt/data/CausaFlux_v2.0.0/dynamic_benchmark_reference/dynamic_benchmark_status.json,False,False,True,False,,,,,Synthetic dynamic superiority software gate only.,127f1fc02c9c518a0560ba72fa075fc7aa88404ce460672a2fbe11d9a8fcba77,2026-08-07T19:25:57+00:00
SW_MULTIMODAL,CF2_MULTIMODAL_FORECASTING,SOFTWARE_PASS,software_fixture,/mnt/data/CausaFlux_v2.0.0/multimodal_dynamic_reference/multimodal_exit_gate.json,False,False,True,False,,,,,Synthetic multimodal forecasting gate only.,df35c483e3cd4b590843d5f6df722acf109f2cca1e47c5f3dd86983996ac4a34,2026-08-07T19:25:57+00:00
SW_INTERVENTION,CF2_UNSEEN_INTERVENTION_GENERALIZATION,SOFTWARE_PASS,software_fixture,/mnt/data/CausaFlux_v2.0.0/intervention_generalization_reference/intervention_exit_gate.json,False,False,True,False,,,,,Synthetic unseen-intervention software gate only.,a6939296b640bf298ada0608d534af1abc15901ad11ef45d2ea5f17bc00822d2,2026-08-07T19:25:57+00:00
SW_SPATIAL,CF2_SPATIAL_CONTEXT_BENEFIT,SOFTWARE_PASS,software_fixture,/mnt/data/CausaFlux_v2.0.0/spatiotemporal_tissue_reference/spatiotemporal_exit_gate.json,False,False,True,False,,,,,Synthetic spatial-context software gate only.,d024f248b24ffb0a4f9b27b043dd10dbf4abf14c0dba7c55ec819e1694baf47c,2026-08-07T19:25:57+00:00
SW_PROSPECTIVE_CYCLE_1,CF2_PROSPECTIVE_CYCLE_1,SOFTWARE_PASS,software_fixture,/mnt/data/CausaFlux_v2.0.0/prospective_loop_reference/prospective_exit_gate.json,False,True,True,False,1.0,,,,Prospectively locked synthetic workflow; not a real experimental cycle.,e5c45d5bab77950bbdcb3e6097f248c5252239d14d98bfe6a22390c99fe06593,2026-08-07T19:25:57+00:00
SW_PROSPECTIVE_CYCLE_2,CF2_PROSPECTIVE_CYCLE_2,SOFTWARE_PASS,software_fixture,/mnt/data/CausaFlux_v2.0.0/prospective_loop_reference/prospective_exit_gate.json,False,True,True,False,2.0,,,,Prospectively locked synthetic workflow; not a real experimental cycle.,e5c45d5bab77950bbdcb3e6097f248c5252239d14d98bfe6a22390c99fe06593,2026-08-07T19:25:57+00:00
REAL_OBSERVATIONAL_REPLICATION,CF2_EXTERNAL_REPLICATION,PARTIAL,independent_cohort_replication,/mnt/data/CausaFlux_v2.0.0/biological_validation_reference/biological_validation_status.json,True,False,False,False,,,,,Retained observational source-cohort replication=3; does not satisfy perturbational external replication.,d00cd8d0cbd00bf73c3bb636aa5218e30b5d0cc7cdfdac5f2c3cac3eb3e29959,2026-08-07T19:25:57+00:00
PENDING_01,CF2_SHIFT_CALIBRATION,PENDING,release_boundary,CausaFlux v2.0.0 release gate,False,False,False,False,,,,,No real distribution-shift calibration evidence ingested.,,2026-08-07T19:25:57+00:00
PENDING_02,CF2_REAL_LONGITUDINAL_CONNECTED,PENDING,release_boundary,CausaFlux v2.0.0 release gate,False,False,False,False,,,,,"Public dataset adapters are available, but no local real longitudinal perturbation training run is bundled as biological evidence.",,2026-08-07T19:25:57+00:00
PENDING_03,CF2_NEGATIVE_FAILURE_REPORTING,PENDING,release_boundary,CausaFlux v2.0.0 release gate,False,False,False,False,,,,,Reporting machinery is present; real-study completeness must be attested from the actual prospective study ledger.,,2026-08-07T19:25:57+00:00
