benchmark_id,source_id,role,repository,accession,version_policy,access,license_summary,license_url,source_url,citation,citation_url,modalities,adapter,query_json,notes
htan_spatial_cancer,htan_oms_breast,discovery,HTAN/Synapse,HTAN center hta9; file Synapse IDs resolved from portal query,Phase 1/portal-resolved immutable Synapse versions,mixed open and controlled,NIH/HTAN data-use terms; file-level access requirements,https://docs.humantumoratlas.org/data_access/portal/,https://humantumoratlas.org/center/hta9,Human Tumor Atlas Network; HTAN OMS Atlas Center,https://humantumoratlas.org/center/hta9,spatial imaging; single-cell RNA; DNA/RNA sequencing; clinical metadata,htan_synapse,"{""atlas_name"": ""HTAN OMS Atlas"", ""data_types"": [""Imaging"", ""scRNA-seq"", ""Bulk RNA-seq"", ""DNA-seq""], ""organ"": ""Breast""}",Runtime resolution writes exact synIDs and entity versions to accession_lock.json.
htan_spatial_cancer,htan_breast_precancer,independent_validation,HTAN/Synapse,HTAN center hta6; file Synapse IDs resolved from portal query,Phase 1/portal-resolved immutable Synapse versions,mixed open and controlled,NIH/HTAN data-use terms; file-level access requirements,https://docs.humantumoratlas.org/data_access/portal/,https://humantumoratlas.org/center/hta6,Human Tumor Atlas Network; Breast Pre-Cancer Atlas Center,https://humantumoratlas.org/center/hta6,spatial imaging; single-cell; mutations; copy number; methylation; gene expression,htan_synapse,"{""atlas_name"": ""HTAN Breast PreCancer Atlas"", ""organ"": ""Breast""}","Validation is biological-context transfer, not a matched metastatic cohort."
htan_spatial_cancer,htan_cellular_geography_resistance,secondary_validation,HTAN/Synapse,HTAN center hta5; file Synapse IDs resolved from portal query,portal-resolved,mixed open and controlled,NIH/HTAN data-use terms,https://docs.humantumoratlas.org/data_access/portal/,https://humantumoratlas.org/center/hta5,Human Tumor Atlas Network,https://humantumoratlas.org/center/hta5,spatial; single-cell; treatment response,htan_synapse,"{""atlas_name"": ""HTAN Cellular Geography""}",Used only when comparable treatment-state metadata are available.
gdc_tcga_cptac_brca,tcga_brca,discovery,NCI GDC,TCGA-BRCA,GDC current release resolved and locked at download,open harmonized derived files; controlled raw/germline files,NCI GDC data-use and dbGaP rules by file access class,https://gdc.cancer.gov/access-data,https://portal.gdc.cancer.gov/projects/TCGA-BRCA,The Cancer Genome Atlas Network. Comprehensive molecular portraits of human breast tumours. Nature 2012. DOI:10.1038/nature11412,https://doi.org/10.1038/nature11412,RNA-seq; somatic mutation; copy number; methylation; clinical,gdc,"{""data_access"": ""open"", ""data_categories"": [""Transcriptome Profiling"", ""Simple Nucleotide Variation"", ""Copy Number Variation"", ""DNA Methylation"", ""Clinical""], ""project_id"": ""TCGA-BRCA""}","Adapter generates GDC filters, file manifest, MD5 lock, and case-level join audit."
gdc_tcga_cptac_brca,cptac2_breast_genomics,independent_validation,NCI GDC,CPTAC-2,GDC current release resolved and locked,mixed open and controlled,NCI GDC/dbGaP terms,https://gdc.cancer.gov/access-data,https://portal.gdc.cancer.gov/projects/CPTAC-2,NCI Clinical Proteomic Tumor Analysis Consortium,https://gdc.cancer.gov/about-gdc/contributed-genomic-data-cancer-research/clinical-proteomic-tumor-analysis-consortium-cptac,WXS/WGS; RNA-seq; clinical,gdc,"{""primary_site"": ""Breast"", ""project_id"": ""CPTAC-2""}",Case-level identifiers must be reconciled to PDC aliquots.
gdc_tcga_cptac_brca,cptac_brca_proteome,independent_validation,NCI PDC,PDC000120,PDC study version resolved and locked,open processed proteomic data; file-specific terms,NCI PDC data-use terms,https://pdc.cancer.gov/pdc-docs/,https://pdc.cancer.gov/pdc/study/PDC000120,Krug et al. Proteogenomic Landscape of Breast Cancer Tumorigenesis and Targeted Therapy. Cell 2020. DOI:10.1016/j.cell.2020.10.036,https://doi.org/10.1016/j.cell.2020.10.036,proteome; phosphoproteome; acetylproteome; clinical,pdc,"{""pdc_study_id"": ""PDC000120""}",Confirmatory cohort of approximately 125 individuals according to PDC study summary.
gdc_tcga_cptac_brca,calgb40601_proteogenomics,therapy_response_validation,NCI PDC,PDC000582,PDC study version resolved and locked,open/controlled by file,NCI PDC data-use terms,https://pdc.cancer.gov/pdc-docs/,https://pdc.cancer.gov/pdc/study/PDC000582,NCI PDC study PDC000582,https://pdc.cancer.gov/pdc/study/PDC000582,proteome; phosphoproteome; treatment response,pdc,"{""pdc_study_id"": ""PDC000582""}",Used only for retrospective response benchmarking; no clinical recommendations.
depmap_prism_lincs,depmap_26q1,discovery,Broad DepMap/Figshare,DepMap Public 26Q1,26Q1,public bulk download; acceptance of file-level terms required,Broad-generated DepMap release files generally CC BY 4.0; verify each file,https://forum.depmap.org/t/license-for-data-found-in-the-depmap-portal/130,https://depmap.org/portal/download/all/,Broad DepMap. DepMap Public 26Q1; cite release DOI shown in download portal and DepMap portal,https://forum.depmap.org/t/announcing-the-26q1-release/4606,CRISPR gene effect; expression; mutation; copy number; model metadata,depmap_manual,"{""expected_files"": [""CRISPRGeneEffect.csv"", ""Model.csv"", ""OmicsExpressionProteinCodingGenesTPMLogp1.csv"", ""OmicsSomaticMutations.csv""], ""release"": ""26Q1""}",The adapter never scrapes the portal; it validates user-downloaded release files and records checksums.
depmap_prism_lincs,prism_repurposing,drug_response_discovery,Broad DepMap,PRISM Repurposing Secondary Screen,portal file version locked at import,public bulk download with file-level terms,Verify file-specific terms in DepMap download panel,https://depmap.org/portal/download/all/,https://depmap.org/portal/download/all/,Corsello et al. Discovering the anti-cancer potential of non-oncology drugs by systematic viability profiling. Nature Cancer 2020,https://doi.org/10.1038/s43018-019-0018-6,drug dose response; cell viability; compound metadata,depmap_manual,"{""dataset_name"": ""PRISM Repurposing Secondary Screen""}",Imported locally; no automated portal scraping.
depmap_prism_lincs,lincs_phase1,independent_signature_validation,NCBI GEO/LINCS,GSE92742,GEO accession update locked by file MD5,open,NCBI GEO terms and submitter-provided usage; citation required,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92742,Subramanian et al. A Next Generation Connectivity Map. Cell 2017. DOI:10.1016/j.cell.2017.10.049,https://doi.org/10.1016/j.cell.2017.10.049,L1000 expression signatures; small molecule; gene perturbation,geo,"{""data_level"": 5, ""geo_accession"": ""GSE92742""}",Large GCTX files are downloaded only on explicit request.
