baseline_order,experiment_id,experiment_name,estimated_cost
1,DRUG_IRE1I_TIMECOURSE,IRE1 inhibitor dose-time course,0.42
2,DRUG_MITOI_TIMECOURSE,Mitochondrial reserve inhibitor time course,0.44
3,CRISPR_B2M_TAP1_RESCUE,CRISPRa B2M/TAP1 antigen-presentation rescue,0.7
4,CRISPR_EP300_24H,CRISPRi EP300 enhancer-plasticity perturbation,0.66
5,CRISPR_XBP1_24H,CRISPRi XBP1 at 24 h,0.62
6,CRISPR_NDUFS1_24H,CRISPRi NDUFS1 at 24 h,0.64
7,IMG_ER_RECOVERY_18H,Live ER recovery imaging at 18 h,0.25
8,IMG_MITO_24H,Mitochondrial membrane-potential imaging,0.24
9,FLOW_MHC1_48H,Flow-cytometric MHC-I recovery,0.31
10,PROTEOMICS_XBP1_TARGETS,Orthogonal XBP1-target proteomics,0.46
11,ATAC_COMMITMENT_36H,ATAC-seq commitment-window sampling,0.48
12,UNTARGETED_LATE_OMICS,Untargeted late-state multi-omics panel,0.78
